model,condition,prompt_id,difficulty,n_reps,FV_mean,FV_ci95,VS_mean,VS_ci95,PA_mean,PA_ci95,EC_mean,EC_ci95,CSS_mean,iter_mean,total_tokens_mean,cost_usd_mean,css_per_1k_tokens
gpt-5.4-mini,hpema,scalar_kalman,L4,2,1.0,0.0,1.0,0.0,0.9816,0.004,0.0,0.0,0.8954,3.0,43698.0,0.093245,0.0205
gpt-5.4-mini,hpema,schedulability,L3,2,0.5,0.98,1.0,0.0,0.9939,0.0121,1.0,0.0,0.8235,3.0,101612.0,0.253017,0.0081
gpt-5.4-mini,hpema,state_machine,L3,2,1.0,0.0,0.6235,0.738,0.9857,0.004,1.0,0.0,0.8834,2.0,21488.0,0.044849,0.0411
gpt-5.4-mini,hpema,tmr_vote,L3,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.5,33272.0,0.053364,0.0301
gpt-5.4-mini,solo,arinc429,L4,2,0.0,0.0,0.373,0.0116,0.9836,0.008,1.0,0.0,0.4578,1.0,1099.0,0.003636,0.4166
gpt-5.4-mini,solo,bitfield_extract,L3,2,0.0,0.0,0.6079,0.7686,0.9857,0.004,1.0,0.0,0.5288,1.0,970.0,0.003495,0.5451
gpt-5.4-mini,solo,channel_health_monitor,L4,2,0.0,0.0,0.2741,0.0026,0.9918,0.008,0.8182,0.0,0.412,1.0,2590.0,0.00995,0.1591
gpt-5.4-mini,solo,crc16_ccitt,L3,2,0.0,0.0,0.75,0.49,0.9898,0.004,0.0,0.0,0.4724,1.0,606.0,0.001973,0.7796
gpt-5.4-mini,solo,event_rate_limiter,L4,2,0.0,0.0,1.0,0.0,0.9836,0.008,1.0,0.0,0.6459,1.0,1109.0,0.003955,0.5824
gpt-5.4-mini,solo,fp_mul_q15,L4,2,0.5,0.98,0.3735,0.1238,0.9918,0.0161,1.0,0.0,0.635,1.0,692.0,0.00215,0.9176
gpt-5.4-mini,solo,int_moving_avg,L2,2,0.5,0.98,1.0,0.0,0.9918,0.0161,0.0,0.0,0.7229,1.0,928.0,0.003521,0.7795
gpt-5.4-mini,solo,is_zero,L1,1,1.0,nan,1.0,nan,1.0,nan,1.0,nan,1.0,1.0,85.0,0.000116,11.7647
gpt-5.4-mini,solo,rate_limiter,L2,2,1.0,0.0,1.0,0.0,0.9857,0.004,1.0,0.0,0.9964,1.0,654.0,0.002223,1.5236
gpt-5.4-mini,solo,scalar_kalman,L4,2,0.5,0.98,1.0,0.0,0.9836,0.008,1.0,0.0,0.8209,1.0,1237.0,0.004644,0.6636
gpt-5.4-mini,solo,schedulability,L3,2,0.0,0.0,1.0,0.0,0.998,0.004,1.0,0.0,0.6495,1.0,615.0,0.001845,1.0561
